QUARTER,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,AIRPORT,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2,6,2019-04-13,DL,2952,Malone,"Dallas/Fort Worth, TX",800,1436.0,396.0,12.0,8,6,0.0,0.0,438.0,0.0,0.0
2,6,2019-04-13,DL,2962,Malone,"Atlanta, GA",600,600.0,0.0,0.0,6,4,0.0,0.0,15.0,0.0,0.0
2,7,2019-04-14,DL,343,Malone,"Chicago, IL",1815,1052.0,997.0,12.0,18,3,7.0,0.0,1010.0,0.0,0.0
2,7,2019-04-14,DL,347,Malone,"Chicago, IL",1915,2242.0,207.0,12.0,19,3,0.0,37.0,33.0,0.0,170.0
2,7,2019-04-14,DL,352,JFK,"Boston, MA",1929,1925.0,-4.0,-1.0,19,1,0.0,0.0,15.0,0.0,0.0
2,7,2019-04-14,DL,433,JFK,"San Juan, PR",1853,1957.0,64.0,4.0,18,7,54.0,0.0,10.0,0.0,10.0
2,7,2019-04-14,DL,447,JFK,"Los Angeles, CA",1815,1811.0,-4.0,-1.0,18,10,0.0,0.0,25.0,0.0,0.0
2,7,2019-04-14,DL,483,Malone,"Sarasota/Bradenton, FL",1055,1213.0,78.0,5.0,10,5,41.0,0.0,0.0,0.0,0.0
2,7,2019-04-14,DL,508,Malone,"West Palm Beach/Palm Beach, FL",1935,2008.0,33.0,2.0,19,5,6.0,0.0,0.0,0.0,13.0
2,7,2019-04-14,DL,518,JFK,"Fort Lauderdale, FL",1959,2111.0,72.0,4.0,19,5,0.0,0.0,20.0,0.0,72.0
2,7,2019-04-14,DL,522,JFK,"San Diego, CA",1925,1917.0,-8.0,-1.0,19,10,0.0,0.0,32.0,0.0,0.0
2,7,2019-04-14,DL,663,Malone,"Atlanta, GA",1800,1947.0,107.0,7.0,18,4,48.0,0.0,2.0,0.0,59.0
2,7,2019-04-14,DL,691,Malone,"Detroit, MI",2049,2204.0,75.0,5.0,20,3,0.0,0.0,35.0,0.0,75.0
2,7,2019-04-14,DL,693,Malone,"Atlanta, GA",2100,2215.0,75.0,5.0,21,4,49.0,0.0,0.0,0.0,14.0
2,7,2019-04-14,DL,773,Malone,"Atlanta, GA",1900,1937.0,37.0,2.0,19,4,11.0,0.0,9.0,0.0,26.0
2,7,2019-04-14,DL,801,JFK,"Atlanta, GA",1555,1639.0,44.0,2.0,15,4,22.0,0.0,65.0,0.0,22.0
2,7,2019-04-14,DL,825,Malone,"Dallas/Fort Worth, TX",1929,2013.0,44.0,2.0,19,6,5.0,0.0,0.0,0.0,26.0
2,7,2019-04-14,DL,834,Malone,"Atlanta, GA",1159,1536.0,217.0,12.0,11,4,31.0,0.0,0.0,0.0,172.0
2,7,2019-04-14,DL,840,Malone,"Atlanta, GA",1300,1256.0,-4.0,-1.0,13,4,0.0,0.0,33.0,0.0,0.0
2,7,2019-04-14,DL,856,Malone,"Atlanta, GA",1100,1411.0,191.0,12.0,11,4,35.0,0.0,10.0,0.0,156.0
2,7,2019-04-14,DL,870,Malone,"Atlanta, GA",1559,1718.0,79.0,5.0,15,4,8.0,0.0,30.0,0.0,71.0
2,7,2019-04-14,DL,889,JFK,"Los Angeles, CA",1915,1916.0,1.0,0.0,19,10,0.0,0.0,55.0,0.0,0.0
2,7,2019-04-14,DL,895,Malone,"Boston, MA",1459,1529.0,30.0,2.0,14,1,30.0,0.0,10.0,0.0,0.0
2,7,2019-04-14,DL,896,Malone,"Atlanta, GA",1700,1726.0,26.0,1.0,17,4,0.0,0.0,74.0,0.0,26.0
2,7,2019-04-14,DL,897,Malone,"Atlanta, GA",1359,1552.0,113.0,7.0,13,4,0.0,0.0,1.0,0.0,113.0
2,7,2019-04-14,DL,898,Malone,"Detroit, MI",1243,1526.0,163.0,10.0,12,3,3.0,0.0,0.0,0.0,143.0
2,7,2019-04-14,DL,956,JFK,"Atlanta, GA",1337,1344.0,7.0,0.0,13,4,0.0,0.0,29.0,0.0,7.0
2,7,2019-04-14,DL,975,JFK,"Las Vegas, NV",1729,1721.0,-8.0,-1.0,17,9,0.0,0.0,21.0,0.0,0.0
2,7,2019-04-14,DL,1069,Malone,"Dallas/Fort Worth, TX",1300,1534.0,154.0,10.0,13,6,16.0,0.0,0.0,0.0,118.0
2,7,2019-04-14,DL,1089,Malone,"Atlanta, GA",1959,2130.0,91.0,6.0,19,4,13.0,0.0,5.0,0.0,78.0
2,7,2019-04-14,DL,1094,JFK,"Fort Lauderdale, FL",1125,1123.0,-2.0,-1.0,11,5,0.0,0.0,18.0,0.0,0.0
2,7,2019-04-14,DL,1097,JFK,"Austin, TX",920,920.0,0.0,0.0,9,7,0.0,0.0,52.0,0.0,0.0
2,7,2019-04-14,DL,1121,JFK,"Los Angeles, CA",820,820.0,0.0,0.0,8,10,0.0,0.0,15.0,0.0,0.0
2,7,2019-04-14,DL,1130,JFK,"Atlanta, GA",1859,2001.0,62.0,4.0,18,4,36.0,0.0,49.0,0.0,26.0
2,7,2019-04-14,DL,1158,Malone,"Detroit, MI",1729,1828.0,59.0,3.0,17,3,13.0,0.0,5.0,0.0,46.0
2,7,2019-04-14,DL,1167,Malone,"Atlanta, GA",759,800.0,1.0,0.0,7,4,0.0,0.0,25.0,0.0,0.0
2,7,2019-04-14,DL,1193,JFK,"Orlando, FL",1335,1441.0,66.0,4.0,13,4,66.0,0.0,1.0,0.0,0.0
2,7,2019-04-14,DL,1273,JFK,"San Francisco, CA",940,1152.0,132.0,8.0,9,11,110.0,0.0,0.0,0.0,0.0
2,7,2019-04-14,DL,1284,Malone,"Dallas/Fort Worth, TX",1730,1958.0,148.0,9.0,17,6,71.0,0.0,0.0,0.0,47.0
2,7,2019-04-14,DL,1353,JFK,"San Francisco, CA",1715,1710.0,-5.0,-1.0,17,11,0.0,0.0,41.0,0.0,0.0
2,7,2019-04-14,DL,1366,Malone,"Fort Lauderdale, FL",1829,1911.0,42.0,2.0,18,5,0.0,0.0,0.0,0.0,28.0
2,7,2019-04-14,DL,1395,JFK,"San Francisco, CA",1900,1851.0,-9.0,-1.0,19,11,0.0,0.0,56.0,0.0,0.0
2,7,2019-04-14,DL,1441,JFK,"Salt Lake City, UT",1558,1616.0,18.0,1.0,15,8,6.0,0.0,16.0,0.0,12.0
2,7,2019-04-14,DL,1451,Malone,"Orlando, FL",1430,1552.0,82.0,5.0,14,4,5.0,0.0,6.0,0.0,77.0
2,7,2019-04-14,DL,1480,JFK,"Denver, CO",1655,1712.0,17.0,1.0,16,7,0.0,0.0,26.0,0.0,5.0
2,7,2019-04-14,DL,1512,JFK,"Tampa, FL",1925,1947.0,22.0,1.0,19,5,22.0,0.0,32.0,0.0,0.0
2,7,2019-04-14,DL,1518,Malone,"Tampa, FL",1130,1549.0,259.0,12.0,11,5,14.0,0.0,0.0,0.0,239.0
2,7,2019-04-14,DL,1522,Malone,"Fort Myers, FL",1600,1811.0,131.0,8.0,16,5,59.0,0.0,0.0,0.0,58.0
2,7,2019-04-14,DL,1526,JFK,"Tampa, FL",807,811.0,4.0,0.0,8,5,0.0,0.0,36.0,0.0,0.0
2,5,2019-04-19,F9,419,Malone,"Atlanta, GA",1759,2030.0,151.0,10.0,17,4,0.0,0.0,0.0,0.0,130.0
2,7,2019-04-21,F9,1113,Malone,"Orlando, FL",929,1038.0,69.0,4.0,9,4,0.0,0.0,0.0,0.0,31.0
2,1,2019-04-22,F9,1113,Malone,"Orlando, FL",929,1154.0,145.0,9.0,9,4,0.0,0.0,0.0,0.0,138.0
2,1,2019-04-22,F9,419,Malone,"Atlanta, GA",1759,1858.0,59.0,3.0,17,4,0.0,0.0,0.0,0.0,15.0
2,1,2019-04-22,F9,2881,Malone,"Miami, FL",2250,2331.0,41.0,2.0,6,5,0.0,0.0,0.0,0.0,16.0
2,5,2019-04-26,F9,419,Malone,"Atlanta, GA",1759,2112.0,193.0,12.0,17,4,0.0,0.0,0.0,0.0,152.0
2,2,2019-04-30,F9,7881,Malone,"Miami, FL",1138,1200.0,22.0,1.0,11,5,19.0,0.0,11.0,0.0,3.0
2,1,2019-04-22,UA,2368,Malone,"Denver, CO",1542,1604.0,22.0,1.0,15,7,22.0,0.0,9.0,0.0,0.0
2,1,2019-04-22,UA,2301,Malone,"Chicago, IL",1630,1724.0,54.0,3.0,16,3,2.0,0.0,0.0,0.0,22.0
2,1,2019-04-22,UA,2214,Malone,"Chicago, IL",2000,2057.0,57.0,3.0,20,3,0.0,0.0,9.0,0.0,28.0
2,1,2019-04-22,UA,2010,Malone,"Chicago, IL",1700,1749.0,49.0,3.0,17,3,2.0,0.0,0.0,0.0,20.0
2,1,2019-04-22,UA,1926,Malone,"Houston, TX",1712,1844.0,92.0,6.0,17,6,4.0,0.0,0.0,0.0,69.0
2,1,2019-04-22,UA,1573,Malone,"Chicago, IL",1400,1620.0,140.0,9.0,14,3,135.0,0.0,0.0,0.0,0.0
2,2,2019-04-16,UA,2202,Malone,"Chicago, IL",1200,1232.0,32.0,2.0,12,3,0.0,0.0,11.0,0.0,32.0
2,2,2019-04-16,UA,2140,Malone,"Denver, CO",959,1615.0,376.0,12.0,9,7,362.0,0.0,0.0,0.0,0.0
2,2,2019-04-16,UA,1973,Malone,"Houston, TX",955,1001.0,6.0,0.0,9,6,6.0,0.0,32.0,0.0,0.0
2,2,2019-04-16,UA,1953,Malone,"Chicago, IL",1000,957.0,-3.0,-1.0,10,3,0.0,0.0,26.0,0.0,0.0
2,2,2019-04-16,UA,1926,Malone,"Houston, TX",1712,1815.0,63.0,4.0,17,6,17.0,0.0,0.0,0.0,46.0
2,2,2019-04-16,UA,1709,Malone,"Chicago, IL",1800,1804.0,4.0,0.0,18,3,0.0,0.0,16.0,0.0,0.0
2,2,2019-04-16,UA,1249,Malone,"Chicago, IL",2100,2240.0,100.0,6.0,21,3,3.0,0.0,0.0,0.0,81.0
2,2,2019-04-16,UA,765,Malone,"Chicago, IL",1505,1505.0,0.0,0.0,15,3,0.0,0.0,23.0,0.0,0.0
2,2,2019-04-16,UA,693,Malone,"Chicago, IL",1900,1919.0,19.0,1.0,19,3,0.0,0.0,1.0,0.0,17.0
2,1,2019-04-15,UA,2416,Malone,"Denver, CO",1810,1815.0,5.0,0.0,18,7,0.0,0.0,28.0,0.0,0.0
2,1,2019-04-15,UA,2301,Malone,"Chicago, IL",1630,1713.0,43.0,2.0,16,3,21.0,0.0,0.0,0.0,0.0
2,1,2019-04-15,UA,2214,Malone,"Chicago, IL",2000,2143.0,103.0,6.0,20,3,0.0,0.0,14.0,0.0,98.0
